Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Vehicle Class;Total Claim Amount;Date
BH36570;Cali;Male;Bachelor;59127838%;72208;73;00/01/1900;Personal Auto;Two-Door Car;350.4;12/10/1996
TX17484;Cali;Femal;Bachelor;151822798%;53863;63;00/01/1900;Personal Auto;Four-Door Car;105.765111;10/02/1996
CT41158;WA;Male;College;107470309%;66446;136;00/01/1900;Corporate Auto;SUV;639.464548;28/07/1997
AO87348;WA;Male;College;20506235%;0;61;00/01/1900;Personal Auto;Four-Door Car;292.8;15/08/1996
DE55857;WA;Femal;Bachelor;24654449%;64997;63;01/01/2000;Personal Auto;Four-Door Car;383.442328;14/11/1996
LF66923;Nevada;Femal;High School or Below;53431213%;64460;66;00/01/1900;Corporate Auto;Two-Door Car;316.8;08/09/1996
CN24514;Arizona;Femal;College;81198291%;46618;67;00/01/1900;Personal Auto;Four-Door Car;99.085943;04/02/1996
UW32074;Oregon;Femal;College;46052652%;0;64;00/01/1900;Corporate Auto;Four-Door Car;307.2;30/08/1996
HP36979;Cali;Male;College;64087856%;49988;84;01/05/2000;Personal Auto;Two-Door Car;566.935022;16/05/1997
PP40919;Cali;Femal;College;23765335%;0;91;01/05/2000;Personal Auto;Two-Door Car;436.8;06/01/1997
RO73268;Cali;M;Bachelor;32110700%;16269;86;00/01/1900;Corporate Auto;Two-Door Car;412.8;13/12/1996
HO61691;Arizona;F;Bachelor;50945223%;72006;64;00/01/1900;Personal Auto;Four-Door Car;307.2;30/08/1996
BS13062;Arizona;F;High School or Below;257552782%;0;81;01/02/2000;Personal Auto;Four-Door Car;388.8;19/11/1996
FO35655;Oregon;M;Bachelor;86722297%;0;245;00/01/1900;Corporate Auto;Luxury SUV;2345.413441;30/03/2002
HR10526;Cali;M;Master;80447307%;44320;67;00/01/1900;Personal Auto;Four-Door Car;321.6;13/09/1996
IA63417;Arizona;F;High School or Below;40015191%;19782;108;00/01/1900;Personal Auto;Two-Door Car;773.470977;09/12/1997
BH35016;Nevada;F;Bachelor;167061170%;63933;70;00/01/1900;Personal Auto;Two-Door Car;424.883448;25/12/1996
PK52952;Arizona;M;Doctor;85444111%;28224;109;00/01/1900;Personal Auto;SUV;523.2;03/04/1997
OD76309;WA;F;College;78053129%;21073;106;01/01/2000;Personal Auto;SUV;508.8;19/03/1997
IL28481;Oregon;M;Bachelor;61127569%;63243;77;00/01/1900;Personal Auto;Four-Door Car;364.240307;26/10/1996
GY55092;Nevada;M;High School or Below;47729438%;20993;133;00/01/1900;Personal Auto;SUV;638.4;27/07/1997
UF33451;Oregon;F;Bachelor;109790956%;94827;135;00/01/1900;Personal Auto;SUV;354.729129;16/10/1996
CF15558;Cali;F;Master;50042638%;39161;63;01/01/2000;Personal Auto;Two-Door Car;283.995953;06/08/1996
JM62924;WA;M;Bachelor;132230438%;37534;84;01/02/2000;Personal Auto;Four-Door Car;403.2;04/12/1996
EM66435;Oregon;F;Bachelor;26233154%;80210;65;00/01/1900;Corporate Auto;Four-Door Car;20.543176;17/11/1995
QX45933;Cali;M;Bachelor;178401956%;0;62;00/01/1900;Personal Auto;Four-Door Car;385.115437;16/11/1996
JI71369;Cali;F;College;51061118%;30110;64;00/01/1900;Personal Auto;Four-Door Car;140.165035;16/03/1996
JU93290;Arizona;F;College;179306045%;21708;68;00/01/1900;Personal Auto;Four-Door Car;326.4;18/09/1996
GU66096;Arizona;M;High School or Below;54573426%;94731;67;00/01/1900;Personal Auto;Four-Door Car;321.6;13/09/1996
UC33108;Cali;M;Bachelor;65636441%;32375;83;00/01/1900;Personal Auto;Four-Door Car;398.4;29/11/1996
LW93867;Oregon;M;College;48125252%;16531;63;00/01/1900;Corporate Auto;Four-Door Car;102.879769;07/02/1996
OU78470;Arizona;F;Master;293280419%;32006;94;00/01/1900;Corporate Auto;Four-Door Car;56.868289;23/12/1995
XW90265;Arizona;F;Bachelor;57735207%;81676;72;00/01/1900;Personal Auto;Two-Door Car;463.158502;02/02/1997
HS67749;Cali;M;College;68471189%;71038;86;00/01/1900;Corporate Auto;Four-Door Car;205.444066;20/05/1996
VZ51506;Arizona;F;High School or Below;35953129%;0;103;00/01/1900;Corporate Auto;Sports Car;741.6;07/11/1997
UI64281;Nevada;F;Master;228556121%;20832;65;00/01/1900;Personal Auto;Two-Door Car;56.371967;23/12/1995
AE98193;WA;M;High School or Below;78594146%;0;113;00/01/1900;Personal Auto;SUV;813.6;18/01/1998
AZ74055;Oregon;M;High School or Below;41155774%;52405;103;00/01/1900;Personal Auto;Four-Door Car;494.4;05/03/1997
XS76911;Arizona;F;High School or Below;50296388%;0;133;00/01/1900;Personal Auto;Sports Car;795.864079;31/12/1997
AY40674;WA;F;Bachelor;48214185%;26583;1005;01/04/2000;Personal Auto;SUV;614.4;03/07/1997
NA12740;Oregon;M;Master;50043105%;25486;65;00/01/1900;Special Auto;Two-Door Car;72.438681;08/01/1996
UA84837;Arizona;M;College;86300539%;24065;111;00/01/1900;Corporate Auto;Four-Door Car;532.8;12/04/1997
DJ51510;Arizona;F;High School or Below;93220851%;70435;116;00/01/1900;Personal Auto;Four-Door Car;67.881546;03/01/1996
VM58985;Cali;M;College;167275606%;0;76;01/02/2000;Personal Auto;Two-Door Car;402.636829;03/12/1996
OH60605;Oregon;F;High School or Below;36525324%;39679;92;00/01/1900;Personal Auto;Two-Door Car;641.388616;30/07/1997
UO98052;Nevada;M;College;61586012%;0;89;00/01/1900;Personal Auto;Four-Door Car;342.481173;04/10/1996
NC53424;Cali;M;Bachelor;43760840%;0;69;01/04/2000;Personal Auto;Two-Door Car;331.2;23/09/1996
LQ13873;Nevada;M;High School or Below;55694562%;53565;71;01/01/2000;Personal Auto;Four-Door Car;340.8;02/10/1996
LA97014;WA;M;Bachelor;25765130%;37574;66;01/01/2000;Personal Auto;Two-Door Car;412.101933;13/12/1996
NB79936;WA;M;Bachelor;83469832%;48259;108;00/01/1900;Personal Auto;Two-Door Car;73.700573;09/01/1996
NT89061;Arizona;F;High School or Below;63239239%;78532;78;00/01/1900;Personal Auto;Four-Door Car;374.4;05/11/1996
AF10970;Arizona;F;Bachelor;59731434%;96163;73;00/01/1900;Corporate Auto;Four-Door Car;350.4;12/10/1996
ZG48513;Cali;M;Bachelor;47066770%;0;72;00/01/1900;Personal Auto;Four-Door Car;345.6;07/10/1996
JQ59145;Cali;Male;High School or Below;80934103%;0;114;01/01/2000;Personal Auto;Sports Car;722.024742;19/10/1997
FE84989;WA;Male;College;50357446%;72672;63;00/01/1900;Personal Auto;Four-Door Car;259.361117;13/07/1996
JT52858;Oregon;F;Bachelor;90278672%;99002;112;01/01/2000;Personal Auto;Four-Door Car;537.6;17/04/1997
MC62068;California;Male;High School or Below;72888848%;79494;91;00/01/1900;Personal Auto;Four-Door Car;396.295614;27/11/1996
EU27538;Oregon;Male;Master;180424794%;35704;225;00/01/1900;Personal Auto;Luxury Car;358.281562;20/10/1996
RH42306;Arizona;F;Bachelor;49920630%;0;71;00/01/1900;Corporate Auto;Four-Door Car;653.388564;11/08/1997
US23612;Oregon;F;High School or Below;91022678%;26049;118;00/01/1900;Personal Auto;Two-Door Car;121.032372;26/02/1996
WV76014;Arizona;Male;Doctor;25404077%;70125;64;00/01/1900;Special Auto;Four-Door Car;92.813396;28/01/1996
RK96223;California;Male;College;129418919%;52369;110;01/01/2000;Personal Auto;SUV;528;08/04/1997
MF82000;WA;female;Bachelor;23653486%;0;66;01/02/2000;Special Auto;Four-Door Car;159.636956;04/04/1996
FM46980;Arizona;Male;College;57207651%;41770;72;00/01/1900;Personal Auto;Four-Door Car;476.156957;15/02/1997
SY56792;Oregon;Male;High School or Below;70355341%;0;101;00/01/1900;Corporate Auto;Four-Door Car;727.2;24/10/1997
RF61565;California;M;College;26369777%;31911;67;00/01/1900;Personal Auto;Four-Door Car;321.6;13/09/1996
IM94808;Nevada;M;Bachelor;53958320%;70051;68;00/01/1900;Corporate Auto;Four-Door Car;42.078345;09/12/1995
VI14730;Oregon;M;High School or Below;83826301%;19683;117;01/01/2000;Personal Auto;Sports Car;561.6;11/05/1997
YR34119;WA;F;College;311617452%;30916;112;00/01/1900;Personal Auto;SUV;200.11606;15/05/1996
RR77985;Oregon;F;Bachelor;28877423%;0;80;00/01/1900;Personal Auto;Four-Door Car;676.944023;03/09/1997
QD28391;Washington;M;College;74258453%;84302;62;00/01/1900;Personal Auto;Four-Door Car;76.609295;12/01/1996
WV17090;California;M;Bachelor;255857278%;0;116;00/01/1900;Corporate Auto;SUV;830.623064;04/02/1998
TM23514;Oregon;M;College;102726082%;60145;132;00/01/1900;Personal Auto;SUV;580.473259;30/05/1997
MQ68407;Oregon;F;Bachelor;43763636%;63774;111;00/01/1900;Personal Auto;Four-Door Car;60.036683;27/12/1995
GJ59592;California;F;Bachelor;53188966%;25134;67;00/01/1900;Corporate Auto;Four-Door Car;321.6;13/09/1996
FY56083;Oregon;M;Bachelor;47197622%;37057;61;01/01/2000;Personal Auto;Four-Door Car;47.53101;14/12/1995
UA94723;Oregon;F;High School or Below;44280316%;58577;110;00/01/1900;Personal Auto;SUV;303.872752;26/08/1996
FW91032;California;M;High School or Below;58791761%;85857;73;00/01/1900;Corporate Auto;Four-Door Car;100.620067;05/02/1996
DE34457;Oregon;F;Doctor;94169085%;70602;116;00/01/1900;Personal Auto;SUV;481.339891;20/02/1997
HD32044;Oregon;F;Master;82881556%;33816;106;01/02/2000;Corporate Auto;Four-Door Car;508.8;19/03/1997
HH30454;Oregon;M;Bachelor;326548383%;0;153;00/01/1900;Personal Auto;SUV;1101.6;02/11/1998
AH84063;Oregon;F;College;47194501%;89642;121;01/04/2000;Corporate Auto;SUV;86.320022;22/01/1996
QA17596;California;F;Bachelor;39034748%;60068;98;00/01/1900;Personal Auto;Two-Door Car;470.4;09/02/1997
XI41052;California;F;Bachelor;54572597%;50044;139;00/01/1900;Personal Auto;SUV;667.2;25/08/1997
DI30528;California;F;Master;27253564%;36650;69;01/01/2000;Personal Auto;Four-Door Car;56.60333;23/12/1995
SC66359;Arizona;F;College;44339737%;50653;110;00/01/1900;Corporate Auto;SUV;262.865172;16/07/1996
EN61670;Arizona;F;Doctor;53324627%;68931;66;00/01/1900;Personal Auto;Four-Door Car;309.577946;01/09/1996
DQ10761;Oregon;M;Bachelor;23150950%;0;73;01/01/2000;Corporate Auto;Four-Door Car;350.4;12/10/1996
BQ51587;California;F;College;54119537%;0;73;00/01/1900;Personal Auto;Four-Door Car;365.364581;27/10/1996
JE21522;California;M;Bachelor;95873323%;39266;80;00/01/1900;Personal Auto;Four-Door Car;384;15/11/1996
WS47147;California;M;College;221035072%;0;102;00/01/1900;Personal Auto;SUV;489.6;28/02/1997
ZA64638;Nevada;F;High School or Below;97649453%;0;98;01/01/2000;Personal Auto;Four-Door Car;705.6;02/10/1997
EW38459;Nevada;F;Bachelor;25671515%;40864;65;00/01/1900;Corporate Auto;Four-Door Car;9.51528;06/11/1995
QW87316;Oregon;F;College;26506228%;39035;68;00/01/1900;Personal Auto;Four-Door Car;244.564334;28/06/1996
IC43478;California;M;Bachelor;112643633%;34923;98;00/01/1900;Personal Auto;Two-Door Car;639.105556;28/07/1997
TE34064;California;M;High School or Below;21685235%;0;63;00/01/1900;Personal Auto;Four-Door Car;453.6;23/01/1997
WU60905;California;F;High School or Below;86106675%;0;111;00/01/1900;Corporate Auto;SUV;532.8;12/04/1997
YM18992;California;F;College;28346462%;24506;71;00/01/1900;Personal Auto;Two-Door Car;511.2;22/03/1997
PD55753;Oregon;M;High School or Below;89301397%;0;82;00/01/1900;Personal Auto;Four-Door Car;554.522969;04/05/1997
KU56006;Arizona;F;College;55363870%;52220;70;01/01/2000;Personal Auto;Four-Door Car;336;28/09/1996
MJ69973;Arizona;M;High School or Below;28408543%;0;74;00/01/1900;Personal Auto;Two-Door Car;402.449823;03/12/1996
TW43626;California;M;College;80828810%;53554;67;00/01/1900;Personal Auto;Four-Door Car;327.020539;19/09/1996
XX84133;California;M;Bachelor;52547343%;34476;67;01/01/2000;Corporate Auto;Four-Door Car;5.3953;02/11/1995
ZW84453;Arizona;F;Bachelor;51162376%;0;70;00/01/1900;Personal Auto;Four-Door Car;131.401291;07/03/1996
HO29524;California;M;College;30346470%;68205;76;00/01/1900;Personal Auto;Two-Door Car;99.382943;04/02/1996
VE89726;California;female;High School or Below;80248999%;0;119;01/01/2000;Personal Auto;SUV;856.8;02/03/1998
GE87503;California;M;High School or Below;182111432%;53690;154;00/01/1900;Personal Auto;SUV;739.2;05/11/1997
PX90263;Oregon;M;High School or Below;51215633%;0;72;00/01/1900;Personal Auto;Four-Door Car;518.4;29/03/1997
NI17718;California;female;High School or Below;21501786%;0;61;00/01/1900;Personal Auto;Four-Door Car;292.8;15/08/1996
FY32213;California;female;High School or Below;55953899%;74454;71;00/01/1900;Personal Auto;Four-Door Car;340.8;02/10/1996
RZ13254;Nevada;female;Bachelor;75628240%;0;73;00/01/1900;Personal Auto;Four-Door Car;350.4;12/10/1996
GN45013;Oregon;M;High School or Below;53858532%;29664;71;00/01/1900;Personal Auto;Four-Door Car;340.8;02/10/1996
NM39588;Washington;F;Doctor;26780583%;72450;66;00/01/1900;Corporate Auto;Four-Door Car;84.218363;20/01/1996
KU84464;Nevada;female;Bachelor;94225679%;47272;79;01/03/2000;Personal Auto;Four-Door Car;64.546877;31/12/1995
YH43527;Oregon;female;College;36058603%;21585;92;00/01/1900;Corporate Auto;Four-Door Car;441.6;11/01/1997
RO30676;California;female;College;77625906%;23827;106;01/02/2000;Personal Auto;Four-Door Car;37.910623;04/12/1995
QL59704;Arizona;female;College;234449005%;69906;74;01/02/2000;Corporate Auto;Four-Door Car;202.860399;17/05/1996
QH19450;California;female;High School or Below;25581782%;0;72;00/01/1900;Corporate Auto;Four-Door Car;345.6;07/10/1996
SA54664;Washington;M;Master;26543810%;73196;66;01/01/2000;Personal Auto;Four-Door Car;85.809817;21/01/1996
CI38330;Washington;M;Bachelor;25497861%;72217;6464;00/01/1900;Personal Auto;Four-Door Car;91.146661;27/01/1996
WB38524;California;M;High School or Below;29695933%;46131;74;00/01/1900;Personal Auto;Two-Door Car;355.2;17/10/1996
CE56187;Oregon;female;Master;43631246%;54514;109;01/03/2000;Personal Auto;SUV;286.234931;09/08/1996
JL19416;California;female;High School or Below;58843086%;0;161;00/01/1900;Personal Auto;SUV;1159.2;30/12/1998
JZ61422;Nevada;female;College;52721916%;96668;66;00/01/1900;Personal Auto;Four-Door Car;316.8;08/09/1996
LA13377;California;M;Doctor;55098957%;78879;69;01/01/2000;Personal Auto;Four-Door Car;466.570791;05/02/1997
NC99948;Nevada;M;College;163136835%;0;69;00/01/1900;Personal Auto;Four-Door Car;331.2;23/09/1996
QD34785;Arizona;female;Bachelor;56780502%;0;76;00/01/1900;Personal Auto;Four-Door Car;364.8;26/10/1996
RO26085;California;female;Bachelor;121012088%;0;112;00/01/1900;Personal Auto;Sports Car;1252.406235;02/04/1999
ES57969;Oregon;M;Bachelor;24535708%;29735;69;00/01/1900;Personal Auto;Four-Door Car;331.2;23/09/1996
JK55587;California;M;High School or Below;50756627%;23082;65;00/01/1900;Special Auto;Four-Door Car;312;04/09/1996
RN97635;Arizona;M;Bachelor;32149794%;53984;80;00/01/1900;Corporate Auto;Four-Door Car;421.484456;22/12/1996
BI76326;California;female;College;122753431%;52135;156;00/01/1900;Personal Auto;SUV;430.505942;31/12/1996
JA34909;California;female;College;27222107%;17576;71;00/01/1900;Corporate Auto;Four-Door Car;398.502948;29/11/1996
OJ90342;Oregon;female;Bachelor;24574409%;29486;62;00/01/1900;Personal Auto;Four-Door Car;7.646763;04/11/1995
CM88932;Oregon;female;Master;35548453%;58557;88;00/01/1900;Corporate Auto;Four-Door Car;55.510526;22/12/1995
JJ97525;California;M;Bachelor;49295497%;25632;63;00/01/1900;Personal Auto;Two-Door Car;351.270869;13/10/1996
XV21647;California;female;High School or Below;80364503%;0;112;00/01/1900;Personal Auto;Sports Car;806.4;11/01/1998
MC83487;Arizona;M;Bachelor;42769153%;18768;68;01/03/2000;Corporate Auto;Four-Door Car;647.454583;05/08/1997
BL90769;California;female;Bachelor;334733495%;33190;106;00/01/1900;Personal Auto;SUV;508.8;19/03/1997
CR57148;Oregon;female;Master;59605814%;47945;74;00/01/1900;Personal Auto;Two-Door Car;128.43823;04/03/1996
CP85232;Arizona;M;College;447954694%;58778;126;00/01/1900;Special Auto;SUV;302.033971;25/08/1996
YL74732;California;female;High School or Below;38321181%;15192;100;00/01/1900;Personal Auto;SUV;480;19/02/1997
FG16766;California;female;Bachelor;68379326%;51859;171;00/01/1900;Personal Auto;SUV;1003.160633;27/07/1998
NV55438;Nevada;female;High School or Below;52852682%;23422;72;00/01/1900;Personal Auto;Two-Door Car;518.4;29/03/1997
RM10880;California;female;College;30965112%;21604;79;00/01/1900;Corporate Auto;Four-Door Car;379.2;10/11/1996
GL56175;Arizona;M;College;35897107%;79298;90;00/01/1900;Personal Auto;Four-Door Car;244.362072;28/06/1996
UK52289;Arizona;female;Bachelor;25824085%;76731;64;00/01/1900;Special Auto;Four-Door Car;201.455005;16/05/1996
OT85112;Washington;M;College;34039194%;38460;88;01/01/2000;Personal Auto;Four-Door Car;91.55098;27/01/1996
BC62782;Arizona;F;College;135756760%;48534;115;01/01/2000;Personal Auto;SUV;552;02/05/1997
TI19722;Washington;M;Doctor;34361343%;30817;88;00/01/1900;Corporate Auto;Four-Door Car;91.834668;27/01/1996
JP30654;Oregon;F;College;286858279%;48412;104;00/01/1900;Personal Auto;SUV;707.430832;04/10/1997
UM45563;Washington;M;Bachelor;45026797%;68798;114;00/01/1900;Personal Auto;SUV;92.915251;28/01/1996
EN60878;Oregon;M;Bachelor;61831115%;23712;85;00/01/1900;Personal Auto;Four-Door Car;376.126419;07/11/1996
JF36291;California;M;College;38736470%;28142;105;00/01/1900;Personal Auto;Sports Car;701.708239;28/09/1997
BK59444;California;F;Master;189293306%;72196;68;00/01/1900;Personal Auto;Four-Door Car;152.184244;28/03/1996
MK70700;California;M;Master;55532958%;68197;69;00/01/1900;Personal Auto;Four-Door Car;176.819414;21/04/1996
IW71076;California;M;Bachelor;50112592%;75248;63;00/01/1900;Corporate Auto;Four-Door Car;104.454624;09/02/1996
AP98768;California;F;College;104424463%;0;98;00/01/1900;Personal Auto;Four-Door Car;941.718054;26/05/1998
OM24164;Nevada;M;Bachelor;21996178%;0;65;01/01/2000;Personal Auto;Two-Door Car;468;07/02/1997
HR85211;Washington;female;Master;51231709%;89879;63;00/01/1900;Personal Auto;Two-Door Car;94.030308;30/01/1996
VC87846;Oregon;M;High School or Below;74843105%;46998;96;00/01/1900;Corporate Auto;Four-Door Car;460.8;30/01/1997
ZM92052;Oregon;M;Bachelor;26130231%;57099;67;00/01/1900;Personal Auto;Two-Door Car;67.859881;03/01/1996
ON73702;Arizona;F;Bachelor;90806397%;33897;114;00/01/1900;Corporate Auto;SUV;539.843003;19/04/1997
QQ90441;Nevada;F;High School or Below;137709762%;59207;116;00/01/1900;Personal Auto;Four-Door Car;556.8;06/05/1997
HU35721;Oregon;M;High School or Below;28768229%;40171;73;00/01/1900;Personal Auto;Four-Door Car;350.4;12/10/1996
YP47665;Washington;M;Doctor;54089115%;80192;67;00/01/1900;Personal Auto;Four-Door Car;95.193157;31/01/1996
FU99476;Washington;M;High School or Below;67703068%;74422;85;01/01/2000;Personal Auto;Four-Door Car;95.338505;31/01/1996
AG85615;Oregon;M;College;241438756%;0;87;00/01/1900;Special Auto;Four-Door Car;626.4;15/07/1997
OY74069;Arizona;F;College;35380595%;0;67;01/05/2000;Personal Auto;Four-Door Car;321.6;13/09/1996
DJ91267;Nevada;F;Bachelor;290912394%;34226;244;00/01/1900;Personal Auto;Luxury SUV;494.395024;05/03/1997
KB72438;California;F;High School or Below;198342012%;65989;123;01/01/2000;Personal Auto;SUV;115.545086;20/02/1996
TR67616;Oregon;M;High School or Below;47313670%;30686;61;00/01/1900;Corporate Auto;Four-Door Car;19.938981;16/11/1995
GF65731;California;F;Master;355378460%;0;113;00/01/1900;Personal Auto;Sports Car;799.926741;04/01/1998
HB67642;Arizona;F;High School or Below;346113790%;20090;109;00/01/1900;Personal Auto;Sports Car;523.2;03/04/1997
DP84567;California;M;High School or Below;202163088%;0;183;00/01/1900;Personal Auto;Luxury SUV;878.4;24/03/1998
VV77534;Oregon;M;College;139765193%;77094;176;00/01/1900;Personal Auto;SUV;444.470676;14/01/1997
GL67540;California;F;College;59040882%;97413;73;00/01/1900;Personal Auto;Four-Door Car;268.819985;22/07/1996
SV50502;Oregon;F;Master;55958350%;79189;69;00/01/1900;Corporate Auto;Four-Door Car;331.2;23/09/1996
UK59698;California;F;High School or Below;22943036%;0;62;00/01/1900;Personal Auto;Two-Door Car;297.6;20/08/1996
OA57352;Arizona;F;College;62739119%;18577;86;00/01/1900;Personal Auto;Four-Door Car;412.8;13/12/1996
ZF84449;Oregon;F;College;37267280%;0;112;01/01/2000;Special Auto;Sports Car;806.4;11/01/1998
AX86150;Washington;M;High School or Below;26567131%;62777;67;00/01/1900;Personal Auto;Two-Door Car;101.288069;06/02/1996
HG39060;Oregon;Male;Bachelor;51106808%;0;74;00/01/1900;Corporate Auto;Four-Door Car;532.8;12/04/1997
EM29359;Nevada;Male;College;71265965%;17483;183;00/01/1900;Personal Auto;Luxury Car;1317.6;06/06/1999
SF57173;Oregon;Male;Master;46016341%;84394;114;00/01/1900;Personal Auto;SUV;691.412378;18/09/1997
OT47603;Oregon;Male;College;91552397%;0;127;00/01/1900;Personal Auto;Sports Car;804.811859;09/01/1998
SW31412;Oregon;F;College;148080562%;41440;62;01/01/2000;Personal Auto;Four-Door Car;297.6;20/08/1996
JS36322;Arizona;Male;High School or Below;89016784%;0;136;01/01/2000;Personal Auto;Sports Car;1090.86434;22/10/1998
RE81445;Oregon;F;College;57345982%;98132;71;00/01/1900;Personal Auto;Two-Door Car;50.587035;17/12/1995
RM24280;Oregon;F;High School or Below;41776970%;0;112;00/01/1900;Personal Auto;Four-Door Car;537.6;17/04/1997
LC25393;California;Male;Bachelor;277762891%;88220;230;00/01/1900;Personal Auto;Luxury Car;151.528482;27/03/1996
UX38930;Arizona;F;Master;103643475%;58327;129;00/01/1900;Personal Auto;SUV;347.075948;09/10/1996
HD95496;Oregon;Male;Master;78519014%;25950;66;00/01/1900;Personal Auto;Two-Door Car;271.697529;25/07/1996
RX24650;Oregon;Male;High School or Below;47729438%;20993;133;00/01/1900;Corporate Auto;SUV;638.4;27/07/1997
DW19309;Oregon;Male;High School or Below;142265049%;65726;177;00/01/1900;Corporate Auto;SUV;849.6;23/02/1998
MT41386;Washington;M;Bachelors;28754324%;84768;72;00/01/1900;Personal Auto;Two-Door Car;110.484661;15/02/1996
WZ40465;Washington;F;Bachelor;50412996%;36234;63;00/01/1900;Personal Auto;Four-Door Car;113.534474;18/02/1996
DB42794;California;Male;College;43629312%;58842;110;00/01/1900;Personal Auto;Four-Door Car;528;08/04/1997
JB50798;Oregon;F;Master;96245244%;25629;124;01/02/2000;Corporate Auto;Sports Car;595.2;14/06/1997
IP69763;Washington;F;College;219144055%;77311;181;00/01/1900;Personal Auto;SUV;113.609508;18/02/1996
TE35785;California;Male;Doctor;69484222%;0;196;01/02/2000;Personal Auto;Luxury SUV;1337.063487;26/06/1999
HX74855;Washington;M;High School or Below;24715284%;95697;61;00/01/1900;Personal Auto;Two-Door Car;114.273025;19/02/1996
QN65180;Oregon;F;Bachelor;219039136%;22254;79;00/01/1900;Personal Auto;Four-Door Car;125.194389;01/03/1996
GE47180;Nevada;Male;High School or Below;90288214%;65974;113;00/01/1900;Personal Auto;Sports Car;235.220971;19/06/1996
VQ38776;Oregon;F;College;53037595%;0;76;00/01/1900;Personal Auto;Four-Door Car;395.34111;26/11/1996
BH86846;Washington;M;High School or Below;207082588%;92079;65;01/01/2000;Corporate Auto;Four-Door Car;114.798771;19/02/1996
IN17648;Nevada;Male;High School or Below;51237681%;0;74;00/01/1900;Personal Auto;Two-Door Car;772.798511;08/12/1997
DF95759;Oregon;Male;College;94923430%;0;132;00/01/1900;Personal Auto;SUV;633.6;22/07/1997
QG45324;Oregon;F;High School or Below;82048632%;0;73;00/01/1900;Personal Auto;Four-Door Car;350.4;12/10/1996
MN61620;Arizona;F;College;98772957%;67752;131;01/04/2000;Personal Auto;Sports Car;168.517149;13/04/1996
YH86390;California;F;Bachelor;48150097%;25398;64;00/01/1900;Corporate Auto;Four-Door Car;307.2;30/08/1996
FY13480;California;Male;High School or Below;62770117%;0;88;00/01/1900;Personal Auto;Four-Door Car;633.6;22/07/1997
YH61661;California;M;High School or Below;82606398%;33321;105;00/01/1900;Special Auto;SUV;504;15/03/1997
NL93182;Nevada;M;Bachelor;25494500%;0;78;00/01/1900;Corporate Auto;Four-Door Car;845.654042;19/02/1998
LN31673;Washington;NA;College;113180898%;38923;99;01/02/2000;Personal Auto;Four-Door Car;115.728852;20/02/1996
WE68644;Oregon;F;Bachelor;38039218%;20325;100;00/01/1900;Personal Auto;Sports Car;668.29397;26/08/1997
EZ30498;Oregon;M;Bachelor;86354035%;13129;117;00/01/1900;Personal Auto;SUV;700.901632;27/09/1997
QY74517;Oregon;F;High School or Below;55105590%;0;73;00/01/1900;Personal Auto;Four-Door Car;525.6;05/04/1997
NM88660;Nevada;M;Master;35858841%;49080;91;00/01/1900;Corporate Auto;Four-Door Car;25.299;22/11/1995
MZ82036;Nevada;M;College;48892528%;42536;63;00/01/1900;Personal Auto;Four-Door Car;375.330097;06/11/1996
ID20929;Oregon;M;Bachelor;27569417%;29926;74;00/01/1900;Corporate Auto;Four-Door Car;418.233667;19/12/1996
EY50028;Nevada;M;Doctor;32895474%;0;86;00/01/1900;Corporate Auto;Two-Door Car;398.240791;29/11/1996
TT82373;California;F;Bachelor;109371785%;21450;138;00/01/1900;Personal Auto;Sports Car;938.513425;23/05/1998
OH64088;California;M;High School or Below;73755679%;33345;65;00/01/1900;Corporate Auto;Four-Door Car;338.619869;30/09/1996
SK97780;California;F;Bachelor;101107782%;15752;90;00/01/1900;Corporate Auto;Two-Door Car;339.344531;01/10/1996
IO33050;Oregon;F;High School or Below;51194143%;40169;65;01/01/2000;Personal Auto;Four-Door Car;302.818833;25/08/1996
XA55917;California;F;College;85338320%;26049;113;01/01/2000;Personal Auto;SUV;619.165344;08/07/1997
JK32620;Nevada;M;College;22247680%;0;68;00/01/1900;Personal Auto;Four-Door Car;326.4;18/09/1996
RQ19236;Arizona;M;Doctor;80428038%;55411;100;00/01/1900;Personal Auto;Sports Car;259.561195;13/07/1996
QC47433;Oregon;M;College;25544371%;12459;70;00/01/1900;Personal Auto;Four-Door Car;336;28/09/1996
RA93608;Oregon;M;Bachelor;180739400%;64620;76;01/01/2000;Personal Auto;Two-Door Car;364.8;26/10/1996
XH97711;California;M;Bachelor;24305066%;83140;61;00/01/1900;Corporate Auto;Four-Door Car;179.161843;24/04/1996
AU96286;Oregon;F;Bachelor;31676584%;0;92;00/01/1900;Corporate Auto;Four-Door Car;662.4;20/08/1997
KC17170;Arizona;F;Bachelor;54656040%;54422;68;00/01/1900;Corporate Auto;Four-Door Car;75.501852;11/01/1996
ZN47335;California;M;College;103575142%;68309;131;00/01/1900;Corporate Auto;SUV;306.983596;29/08/1996
EI46264;California;M;High School or Below;25378139%;56621;65;01/02/2000;Personal Auto;Four-Door Car;84.026848;20/01/1996
EK87864;Arizona;F;College;28219472%;38977;70;00/01/1900;Special Auto;Four-Door Car;139.489926;15/03/1996
GV45403;AZ;M;Bachelor;77571281%;0;111;00/01/1900;Corporate Auto;Two-Door Car;607.4459;26/06/1997
